weatheid,temp,humidity,winddirecttion,windspeed,waterspeed,waterdirecttion,watertemp,gathertime,Latitude,Longitude
1,36,34,23,12,12,7,27,20231028 09:10;11,37.000005,127.000005
2,29,34,9,12,12,9,27,20231028 09:10;11,37.000005,127.010005
3,17,23,34,12,12,34,27,20231028 09:10;11,37.000005,127.02000500000001
4,17,12,44,12,12,5,27,20231028 09:10;11,37.000005,127.03000500000002
5,17,34,45,12,12,45,27,20231028 09:10;11,37.000005,127.04000500000002
6,17,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.05000500000003
7,17,23,35,12,12,35,27,20231028 09:10;11,37.000005,127.06000500000003
8,17,12,35,12,12,35,27,20231028 09:10;11,37.000005,127.07000500000004
9,17,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.08000500000004
10,36,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.09000500000005
11,36,23,35,12,12,35,27,20231028 09:10;11,37.000005,127.10000500000005
12,36,12,35,12,12,35,27,20231028 09:10;11,37.000005,127.11000500000006
13,36,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.12000500000006
14,36,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.13000500000007
15,36,23,35,12,12,35,27,20231028 09:10;11,37.000005,127.14000500000007
16,36,12,35,12,12,35,27,20231028 09:10;11,37.000005,127.15000500000008
27,36,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.16000500000008
18,36,34,35,12,12,35,27,20231028 09:10;11,37.000005,127.17000500000009
19,36,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.1800050000001
20,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.1900050000001
21,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.2000050000001
22,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.21000500000011
23,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.22000500000011
24,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.23000500000012
25,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.24000500000012
26,17,34,35,26,29,35,27,20231028 09:10;11,37.000005,127.25000500000013
27,17,23,35,26,29,35,27,20231028 09:10;11,37.000005,127.26000500000013
28,17,12,35,26,29,35,27,20231028 09:10;11,37.000005,127.27000500000014
